,created_time,id,message
250,2015-08-29T03:28:11+0000,10218552285255958_10207254669222618,https://www.youtube.com/watch?v=P1-891_aOKY&list=PLhCETvAWAFqTdnrprf6qyZGd__AaMXqrM
251,2015-08-25T02:20:21+0000,10218552285255958_10207226588360614,https://www.youtube.com/watch?v=Mo4cmTaEDIk
252,2015-08-22T16:04:22+0000,10218552285255958_10207208723914014,pero que clase 'e rumba....
253,2015-08-07T22:09:29+0000,10218552285255958_10207053451752307,"Hoy voy a beber,,,y sé ...que voy a enloquecer..."
254,2015-07-24T03:47:09+0000,10218552285255958_10206889089683358,
255,2015-07-05T00:51:02+0000,10218552285255958_10206719211956521,Gracias Sampaoli !!
256,2015-07-05T00:30:28+0000,10218552285255958_10206718572260529,<3
257,2015-07-03T04:10:32+0000,10218552285255958_10206697945864882,
258,2015-07-03T04:01:21+0000,10218552285255958_10206697908983960,
259,2015-06-25T02:15:52+0000,10218552285255958_10206618323914383,"Jara , el urólogo de la selección uruguaya. Hoy le tocó exámen de próstata a Cavani,"
260,2015-06-17T18:48:33+0000,10218552285255958_10206549131224609,"Paul Gascoigne, George Best, Ronaldinho, ""Burrito"" Ortega, etcétera . No eres el único  Vidal. Tómate  hasta el agua de las flores"
261,2015-06-17T15:50:45+0000,10218552285255958_10206548221241860,Quién  no ha llegado borracho a trabajar ?. Vamos #reyarturo
262,2015-06-12T06:51:58+0000,10218552285255958_10206508217361788,"Programar algo, que cobre vida propia , y luego se vuelva en tu contra ."
263,2015-06-06T18:01:59+0000,10218552285255958_10206463891213662,Dos colocolinos en la final de la champions league.
264,2015-06-04T21:57:12+0000,10218552285255958_10206453162985463,Dejaré esto por aquí.
265,2015-05-20T01:40:17+0000,10218552285255958_10206307295738873,
266,2015-05-13T23:57:02+0000,10218552285255958_10206264415386891,Lo bueno es que nunca llueve .
267,2015-05-09T02:32:17+0000,10218552285255958_10206233390371285,"Aprendan en Chile. Aquí un político honesto : ""Sí robé , pero poquito"". "
268,2015-05-06T04:33:04+0000,10218552285255958_10206219152815355,En resumen : métete tu reclamo por el culo.
269,2015-05-06T04:20:18+0000,10218552285255958_10206219024212140,Primer ministro de Singapur comparte su código en C++ para solucionar Sudoku. :O
270,2015-05-03T05:02:29+0000,10218552285255958_10206203668148248,Menos mal que esta cagada de pelea es una vez por siglo. No estaré vivo para la próxima
271,2015-04-25T19:45:00+0000,10218552285255958_10206155183616165,Un lindo día de excursión al cerro y explota un volcán.
272,2015-04-05T18:12:26+0000,10218552285255958_10206007241877714,Y sigo sin entender como un conejo pone huevos
